id,blueprint_id,volume,name
519,1095,5.0,Gyrostabilizer II
520,1096,5.0,Gyrostabilizer I
523,1099,5.0,Small Armor Repairer I
524,1100,12.5,Small Hull Repairer I
526,1102,5.0,Stasis Webifier I
527,1103,5.0,Stasis Webifier II
529,1105,5.0,Small Remote Capacitor Transmitter I
530,1106,5.0,Small Energy Nosferatu I
533,1109,5.0,Small Energy Neutralizer I
561,1112,5.0,75mm Gatling Rail I
562,1113,5.0,Light Electron Blaster I
563,1114,5.0,Light Ion Blaster I
564,1115,5.0,Light Neutron Blaster I
565,1116,5.0,150mm Railgun I
566,1117,10.0,Heavy Electron Blaster I
567,1118,10.0,Dual 150mm Railgun I
568,1119,25.0,Heavy Neutron Blaster I
569,1120,10.0,Heavy Ion Blaster I
570,1121,25.0,250mm Railgun I
571,1122,50.0,Electron Blaster Cannon I
572,1123,20.0,Dual 250mm Railgun I
573,1124,50.0,Neutron Blaster Cannon I
574,1125,50.0,425mm Railgun I
575,1126,50.0,Ion Blaster Cannon I
577,1128,10.0,Medium Capacitor Booster I
578,1129,5.0,Multispectrum Shield Hardener I
580,1210,5.0,Burst Jammer I
581,1212,25.0,Passive Targeter I
582,683,20000.0,Bantam
583,684,18000.0,Condor
584,685,19400.0,Griffin
585,689,17400.0,Slasher
586,690,19500.0,Probe
587,691,27289.0,Rifter
589,936,28100.0,Executioner
590,937,28700.0,Inquisitor
591,938,24398.0,Tormentor
592,939,10000.0,Navitas
593,940,26500.0,Tristan
594,941,29500.0,Incursus
597,944,28600.0,Punisher
598,945,20000.0,Breacher
599,946,17100.0,Burst
602,949,19700.0,Kestrel
603,950,16500.0,Merlin
605,952,18900.0,Heron
607,954,21500.0,Imicus
608,955,22500.0,Atron
609,956,23000.0,Maulus
620,686,107000.0,Osprey
621,687,92000.0,Caracal
622,692,80000.0,Stabber
623,968,101000.0,Moa
624,969,118000.0,Maller
625,970,115000.0,Augoror
626,971,115000.0,Vexor
627,972,112000.0,Thorax
628,973,120000.0,Arbitrator
629,974,96000.0,Rupture
630,975,85000.0,Bellicose
631,976,89000.0,Scythe
632,977,96000.0,Blackbird
633,978,116000.0,Celestis
634,979,113000.0,Exequror
638,688,486000.0,Raven
639,693,450000.0,Tempest
640,994,468000.0,Scorpion
641,995,486000.0,Megathron
642,996,495000.0,Apocalypse
643,997,486000.0,Armageddon
644,998,414000.0,Typhoon
645,999,454500.0,Dominix
648,983,250000.0,Badger
649,984,270000.0,Tayra
650,985,240000.0,Nereus
651,986,400000.0,Hoarder
652,987,255000.0,Mammoth
653,988,225000.0,Wreathe
654,989,245000.0,Kryos
655,990,250000.0,Epithal
656,991,265000.0,Miasmos
657,992,275000.0,Iteron Mark V
671,1002,145500000.0,Erebus
672,967,5000.0,Caldari Shuttle
1182,1208,5.0,Auto Targeting System I
1183,1184,5.0,Small Armor Repairer II
1185,1186,5.0,Small Cap Battery I
1190,1191,5.0,Small Remote Capacitor Transmitter II
1195,1196,5.0,Cap Recharger I
1197,1204,5.0,EM Coating I
1198,1205,5.0,EM Coating II
1201,1214,25.0,Wasp I
1202,1218,5.0,Civilian Mining Drone
1236,1237,5.0,Overdrive Injector System II
1244,1245,5.0,Overdrive Injector System I
1246,1247,5.0,Capacitor Flux Coil I
1248,1249,5.0,Capacitor Flux Coil II
1254,1255,5.0,Shield Flux Coil I
1256,1257,5.0,Shield Flux Coil II
1264,1265,5.0,Explosive Coating I
1266,1267,5.0,Explosive Coating II
1274,1275,5.0,Layered Coating I
1276,1277,5.0,Layered Coating II
1284,1285,5.0,Kinetic Coating I
1286,1287,5.0,Kinetic Coating II
1294,1295,5.0,Thermal Coating I
1296,1297,5.0,Thermal Coating II
1304,1305,5.0,Multispectrum Coating I
1306,1307,5.0,Multispectrum Coating II
1317,1318,5.0,Expanded Cargohold I
1319,1320,5.0,Expanded Cargohold II
1333,1334,25.0,Reinforced Bulkheads I
1335,1336,5.0,Reinforced Bulkheads II
1353,1354,5.0,Reactor Control Unit I
1355,1356,5.0,Reactor Control Unit II
1403,1404,5.0,Inertial Stabilizers I
1405,1406,5.0,Inertial Stabilizers II
1422,1423,5.0,Shield Power Relay II
1436,1437,5.0,Auto Targeting System II
1445,1446,5.0,Capacitor Power Relay I
1447,1448,5.0,Capacitor Power Relay II
1539,1540,5.0,Power Diagnostic System I
1541,1542,5.0,Power Diagnostic System II
1547,1548,12.5,Small Proton Smartbomb I
1549,1550,5.0,Small Proton Smartbomb II
1551,1552,12.5,Small Graviton Smartbomb I
1553,1554,5.0,Small Graviton Smartbomb II
1557,1558,12.5,Small Plasma Smartbomb I
1559,1560,5.0,Small Plasma Smartbomb II
1563,1564,12.5,Small EMP Smartbomb I
1565,1566,5.0,Small EMP Smartbomb II
1808,1809,5.0,EM Shield Amplifier I
1810,1811,0.015,Scourge Auto-Targeting Light Missile I
1814,1815,0.015,Nova Auto-Targeting Light Missile I
1816,1817,0.015,Inferno Auto-Targeting Light Missile I
1818,1819,0.03,Scourge Auto-Targeting Heavy Missile I
1820,1821,0.03,Mjolnir Auto-Targeting Heavy Missile I
1822,1823,0.03,Nova Auto-Targeting Heavy Missile I
1824,1825,0.03,Inferno Auto-Targeting Heavy Missile I
1826,1827,0.05,Scourge Auto-Targeting Cruise Missile I
1828,1829,0.05,Mjolnir Auto-Targeting Cruise Missile I
1830,1831,0.05,Nova Auto-Targeting Cruise Missile I
1832,1833,0.05,Inferno Auto-Targeting Cruise Missile I
1855,1856,5.0,Ship Scanner II
1875,1876,10.0,Rapid Light Missile Launcher I
1877,1878,10.0,Rapid Light Missile Launcher II
1944,1945,260000.0,Bestower
1948,11628,5.0,Magnetometric ECM I
1952,11808,5.0,Sensor Booster II
1955,11631,5.0,Gravimetric ECM I
1956,11632,5.0,Radar ECM I
1957,11629,5.0,Multispectral ECM I
1958,11630,5.0,Ladar ECM I
1963,11798,25.0,Remote Sensor Booster I
1964,11799,5.0,Remote Sensor Booster II
1968,11803,5.0,Remote Sensor Dampener I
1969,11804,5.0,Remote Sensor Dampener II
1973,11620,5.0,Sensor Booster I
1977,11621,5.0,Tracking Computer I
1978,11840,5.0,Tracking Computer II
1986,11634,5.0,Signal Amplifier I
1987,11812,5.0,Signal Amplifier II
1998,11616,5.0,Tracking Enhancer I
1999,11848,5.0,Tracking Enhancer II
2001,34867,200000.0,Cynosural Suppression
2006,2007,118000.0,Omen
2008,34866,200000.0,Cynosural Navigation
2009,34868,200000.0,Supercapital Construction Facilities
2018,2019,10.0,Medium Cap Battery I
2020,2021,15.0,Large Cap Battery I
2024,2025,10.0,Medium Capacitor Booster II
2026,34845,5000.0,Pirate Detection Array 1
2027,34846,10000.0,Pirate Detection Array 2
2028,34847,20000.0,Pirate Detection Array 3
2029,34848,40000.0,Pirate Detection Array 4
2030,34849,60000.0,Pirate Detection Array 5
2031,34869,5000.0,Entrapment Array 1
2032,2033,5.0,Cap Recharger II
2034,34841,10000.0,Entrapment Array 2
2035,34842,20000.0,Entrapment Array 3
2036,34843,40000.0,Entrapment Array 4
2037,34844,60000.0,Entrapment Array 5
2038,2039,5.0,Cargo Scanner II
2040,34855,5000.0,Ore Prospecting Array 1
2041,34856,10000.0,Ore Prospecting Array 2
2042,34857,20000.0,Ore Prospecting Array 3
2043,34858,40000.0,Ore Prospecting Array 4
2044,34859,60000.0,Ore Prospecting Array 5
2046,2047,5.0,Damage Control I
2048,2049,5.0,Damage Control II
2053,34860,5000.0,Survey Networks 1
2054,34861,10000.0,Survey Networks 2
2055,34862,20000.0,Survey Networks 3
2056,34863,40000.0,Survey Networks 4
2057,34864,60000.0,Survey Networks 5
2058,34850,5000.0,Quantum Flux Generator 1
2059,34851,10000.0,Quantum Flux Generator 2
2060,34852,20000.0,Quantum Flux Generator 3
2061,34853,40000.0,Quantum Flux Generator 4
2062,34854,60000.0,Quantum Flux Generator 5
2103,11617,25.0,Remote Tracking Computer I
2104,11851,5.0,Remote Tracking Computer II
2108,11614,5.0,Tracking Disruptor I
2109,11844,5.0,Tracking Disruptor II
2117,2118,5.0,Burst Jammer II
2161,2162,28100.0,Crucifier
2165,2179,0.05,Haunter Cruise Missile
2173,2174,10.0,Infiltrator I
2175,2176,10.0,Infiltrator II
2183,2184,10.0,Hammerhead I
2185,2186,10.0,Hammerhead II
2193,2194,25.0,Praetor I
2195,2196,25.0,Praetor II
2203,2204,5.0,Acolyte I
2205,2206,5.0,Acolyte II
2210,2211,0.05,Banshee Torpedo
2281,2282,5.0,Multispectrum Shield Hardener II
2289,2290,5.0,Explosive Shield Hardener I
2291,2292,5.0,Kinetic Shield Hardener I
2293,2294,5.0,EM Shield Hardener I
2295,2296,5.0,Thermal Shield Hardener I
2297,2298,5.0,Explosive Shield Hardener II
2299,2300,5.0,Kinetic Shield Hardener II
2301,2302,5.0,EM Shield Hardener II
2303,2304,5.0,Thermal Shield Hardener II
2319,0,1.5,Test Cultures
2328,0,1.5,Water-Cooled CPU
2329,0,1.5,Biocells
2331,2332,5.0,Shield Power Relay I
2333,2334,5.0,Survey Scanner II
2341,2342,5.0,Passive Targeter II
2345,0,6.0,Camera Drones
2346,0,6.0,Synthetic Synapses
2348,0,6.0,Gel-Matrix Biopaste
2349,0,6.0,Supercomputers
2351,0,6.0,Smartfab Units
2352,0,6.0,Nuclear Reactors
2354,0,6.0,Neocoms
2355,2356,5.0,Small Hull Repairer II
2361,0,6.0,Hermetic Membranes
2363,11612,5.0,Heat Sink I
2364,11795,5.0,Heat Sink II
2367,0,6.0,Cryoprotectant Solution
2393,0,0.38,Bacteria
2395,0,0.38,Proteins
2401,0,0.38,Chiral Structures
2404,2405,5.0,Light Missile Launcher II
2410,2411,10.0,Heavy Missile Launcher II
2420,2421,20.0,Torpedo Launcher II
2436,2437,25.0,Wasp II
2444,2445,25.0,Ogre I
2446,2447,25.0,Ogre II
2454,2455,5.0,Hobgoblin I
2456,2457,5.0,Hobgoblin II
2463,0,1.5,Nanites
2464,2465,5.0,Hornet I
2466,2467,5.0,Hornet II
2476,2477,25.0,Berserker I
2478,2479,25.0,Berserker II
2486,2487,5.0,Warrior I
2488,2489,5.0,Warrior II
2506,2507,0.05,Mjolnir Torpedo
2508,2509,0.05,Nova Torpedo
2510,2511,0.05,Inferno Torpedo
2512,2513,0.005,Mjolnir Rocket
2514,2515,0.005,Inferno Rocket
2516,2517,0.005,Nova Rocket
2529,2530,5.0,Explosive Shield Amplifier I
2531,2532,5.0,Explosive Shield Amplifier II
2537,2538,5.0,Thermal Shield Amplifier I
2539,2540,5.0,Thermal Shield Amplifier II
2545,2546,5.0,Kinetic Shield Amplifier I
2547,2548,5.0,Kinetic Shield Amplifier II
2553,2554,5.0,EM Shield Amplifier II
2559,11783,5.0,Ladar ECM II
2563,11775,5.0,Magnetometric ECM II
2567,11779,5.0,Multispectral ECM II
2571,11787,5.0,Gravimetric ECM II
2575,11791,5.0,Radar ECM II
2603,2604,5.0,Nanofiber Internal Structure I
2605,2606,5.0,Nanofiber Internal Structure II
2613,2614,0.015,Mjolnir Fury Light Missile
2621,2622,0.05,Inferno Fury Cruise Missile
2629,2630,0.03,Scourge Fury Heavy Missile
2637,2638,0.05,Inferno Precision Cruise Missile
2647,2648,0.015,Inferno Precision Light Missile
2655,2656,0.03,Nova Precision Heavy Missile
2679,2680,0.015,Scourge Rage Heavy Assault Missile
2801,2802,0.05,Nova Javelin Torpedo
2811,2812,0.05,Inferno Rage Torpedo
2817,2818,0.005,Mjolnir Rage Rocket
2865,2866,20.0,1200mm Artillery Cannon II
2867,0,100.0,Broadcast Node
2868,0,100.0,Integrity Response Drones
2869,0,100.0,Nano-Factory
2870,0,100.0,Organic Mortar Applicators
2871,0,100.0,Recursive Computing Module
2872,0,100.0,Self-Harmonizing Power Core
2873,2874,5.0,125mm Gatling AutoCannon II
2875,0,100.0,Sterile Conduits
2876,0,100.0,Wetware Mainframe
2881,16032,5.0,150mm Light AutoCannon II
2889,2890,5.0,200mm AutoCannon II
2897,2898,10.0,220mm Vulcan AutoCannon II
2905,2906,5.0,250mm Light Artillery Cannon II
2913,2914,10.0,425mm AutoCannon II
2921,2922,10.0,650mm Artillery Cannon II
2929,16029,20.0,800mm Repeating Cannon II
2937,2938,10.0,Dual 180mm AutoCannon II
2945,2946,20.0,Dual 425mm AutoCannon II
2948,2949,1800.0,Shadow
2953,2954,20.0,Dual 650mm Repeating Cannon II
2961,2962,20.0,1400mm Howitzer Artillery II
2969,2970,10.0,720mm Howitzer Artillery II
2977,2978,5.0,280mm Howitzer Artillery II
2985,2986,20.0,Dual Heavy Beam Laser II
2993,2994,5.0,Dual Light Beam Laser II
2998,3039,270000.0,Noctis
3001,3002,5.0,Dual Light Pulse Laser II
3009,3010,10.0,Focused Medium Beam Laser II
3017,3018,5.0,Gatling Pulse Laser II
3025,3026,10.0,Heavy Beam Laser II
3033,3034,5.0,Small Focused Beam Laser II
3041,3042,5.0,Small Focused Pulse Laser II
3049,3050,20.0,Mega Beam Laser II
3057,3058,20.0,Mega Pulse Laser II
3065,3066,20.0,Tachyon Beam Laser II
3074,3075,5.0,150mm Railgun II
3082,3083,10.0,250mm Railgun II
3090,3091,20.0,425mm Railgun II
3098,3099,5.0,75mm Gatling Rail II
3106,3107,10.0,Dual 150mm Railgun II
3114,3115,20.0,Dual 250mm Railgun II
3122,3123,20.0,Electron Blaster Cannon II
3130,3131,10.0,Heavy Electron Blaster II
3138,3139,10.0,Heavy Ion Blaster II
3146,3147,10.0,Heavy Neutron Blaster II
3154,3155,20.0,Ion Blaster Cannon II
3162,3163,5.0,Light Electron Blaster II
3170,3171,5.0,Light Ion Blaster II
3178,3179,5.0,Light Neutron Blaster II
3186,3187,20.0,Neutron Blaster Cannon II
3218,43934,10.0,Harvester Mining Drone
3242,3243,5.0,Warp Disruptor I
3244,3245,5.0,Warp Disruptor II
3285,3286,10.0,Quad Light Beam Laser II
3293,32860,325.0,Medium Standard Container
3296,32861,650.0,Large Standard Container
3297,32859,100.0,Small Standard Container
3465,32865,650.0,Large Secure Container
3466,32866,325.0,Medium Secure Container
3467,32867,100.0,Small Secure Container
3488,3489,5.0,Small Cap Battery II
3496,3497,10.0,Medium Cap Battery II
3504,3505,15.0,Large Cap Battery II
3512,3513,10.0,Focused Medium Pulse Laser II
3514,3515,62000000.0,Revenant
3516,3517,28600.0,Malice
3518,3519,118000.0,Vangel
3520,3521,10.0,Heavy Pulse Laser II
3528,3529,10.0,Medium Armor Repairer I
3530,3531,10.0,Medium Armor Repairer II
3534,3535,4000.0,CONCORD Capital Armor Repairer
3536,3537,4000.0,CONCORD Capital Remote Armor Repairer
3538,3539,50.0,Large Armor Repairer I
3540,3541,50.0,Large Armor Repairer II
3542,3543,4000.0,CONCORD Capital Shield Booster
3544,3545,4000.0,CONCORD Capital Remote Shield Booster
3546,3547,4000.0,CONCORD Ion Siege Blaster
3550,3557,4000.0,CONCORD Dual 1000mm Railgun
3552,3553,3.0,Cap Booster 75
3554,3555,4.0,Cap Booster 100
3559,3560,4000.0,CONCORD Dual Giga Pulse Laser
3561,3562,4000.0,CONCORD Dual Giga Beam Laser
3563,3564,4000.0,CONCORD XL Cruise Missile Launcher
3565,3570,4000.0,CONCORD XL Torpedo Launcher
3566,3567,5.0,Small Capacitor Booster I
3568,3569,5.0,Small Capacitor Booster II
3571,3572,4000.0,CONCORD Quad 3500mm Siege Artillery
3573,3574,4000.0,CONCORD Hexa 2500mm Repeating Cannon
3575,3580,4000.0,CONCORD Capital Remote Capacitor Transmitter
3576,3577,20.0,Heavy Capacitor Booster I
3578,3579,20.0,Heavy Capacitor Booster II
3581,3582,5.0,Purloined Sansha Data Analyzer
3583,0,4.0,Badly Mangled Components
3584,0,4.0,True Slave Decryption Node
3585,3590,5.0,Mangled Sansha Data Analyzer
3586,3587,5.0,Small Remote Shield Booster I
3588,3589,5.0,Small Remote Shield Booster II
3596,3597,10.0,Medium Remote Shield Booster I
3598,3599,10.0,Medium Remote Shield Booster II
3606,3607,25.0,Large Remote Shield Booster I
3608,3609,25.0,Large Remote Shield Booster II
3616,3617,4000.0,Capital Remote Shield Booster I
3618,3619,4000.0,Capital Remote Shield Booster II
3645,0,0.38,Water
3647,0,0.5,Holoreels
3653,3654,25.0,Medium Hull Repairer I
3655,3656,10.0,Medium Hull Repairer II
3663,3664,50.0,Large Hull Repairer I
3665,3666,50.0,Large Hull Repairer II
3683,0,0.38,Oxygen
3685,0,1.0,Hydrogen Batteries
3687,0,1.0,Electronic Parts
3689,0,1.5,Mechanical Parts
3715,0,0.5,Frozen Food
3756,33327,101000.0,Gnosis
3764,3765,132500000.0,Leviathan
3766,3767,17400.0,Vigil
3773,0,0.5,Hydrochloric Acid
3779,0,0.38,Biomass
3810,0,2.0,Marines
3812,0,1.0,Data Sheets
3814,0,0.1,Reports
3828,0,1.5,Construction Blocks
3829,3830,10.0,Medium Shield Extender I
3831,3832,10.0,Medium Shield Extender II
3839,3840,20.0,Large Shield Extender I
3841,3842,20.0,Large Shield Extender II
3887,11619,5.0,Co-Processor I
3888,11747,5.0,Co-Processor II
3937,3938,25.0,Medium Proton Smartbomb I
3939,3940,10.0,Medium Proton Smartbomb II
3941,3942,25.0,Medium Graviton Smartbomb I
3943,3944,10.0,Medium Graviton Smartbomb II
3947,3948,25.0,Medium Plasma Smartbomb I
3949,3950,10.0,Medium Plasma Smartbomb II
3953,3954,25.0,Medium EMP Smartbomb I
3955,3956,10.0,Medium EMP Smartbomb II
3962,3963,7600.0,Customs Office Gantry
3977,3978,50.0,Large Proton Smartbomb I
3979,3980,50.0,Large Proton Smartbomb II
3981,3982,50.0,Large Graviton Smartbomb I
3983,3984,50.0,Large Graviton Smartbomb II
3986,3991,50.0,Large Remote Hull Repairer II
3987,3988,50.0,Large Plasma Smartbomb I
3989,3990,50.0,Large Plasma Smartbomb II
3993,3994,50.0,Large EMP Smartbomb I
3995,3996,50.0,Large EMP Smartbomb II
4051,4314,5.0,Nitrogen Fuel Block
4147,4148,20.0,Dual Heavy Pulse Laser II
4246,4316,5.0,Hydrogen Fuel Block
4247,4315,5.0,Helium Fuel Block
4248,4249,50.0,Warp Disruption Field Generator II
4250,4251,50.0,Small Tractor Beam II
4252,4253,4000.0,Capital Tractor Beam II
4254,4255,20.0,Micro Auxiliary Power Core II
4256,4257,50.0,Bomb Launcher II
4258,4259,5.0,Core Probe Launcher II
4260,4261,5.0,Expanded Probe Launcher II
4274,4275,60.0,Mining Foreman Link - Harvester Capacitor Efficiency II
4276,4277,60.0,Mining Foreman Link - Laser Optimization II
4278,4279,60.0,Mining Foreman Link - Mining Laser Field Enhancement II
4292,4293,4000.0,Siege Module II
4294,4295,4000.0,Triage Module II
4296,4298,10.0,Medium Remote Hull Repairer II
4299,4300,5.0,Small Remote Hull Repairer II
4302,4305,234000.0,Oracle
4306,4307,252000.0,Naga
4308,4309,270000.0,Talos
4310,4311,216000.0,Tornado
4312,4313,5.0,Oxygen Fuel Block
4363,4364,265000.0,Miasmos Quafe Ultra Edition
4383,4384,10.0,Large Micro Jump Drive
4388,4389,265000.0,Miasmos Quafe Ultramarine Edition
4391,4392,25.0,Large Ancillary Shield Booster
4393,4394,5.0,Drone Damage Amplifier I
4395,4396,5.0,Medium Processor Overclocking Unit I
4397,4398,5.0,Large Processor Overclocking Unit I
4399,4400,5.0,Medium Processor Overclocking Unit II
4401,4402,5.0,Large Processor Overclocking Unit II
4403,4404,25.0,Reactive Armor Hardener
4405,4406,5.0,Drone Damage Amplifier II
4409,4410,5.0,Signature Radius Suppressor I
9830,0,1.5,Rocket Fuel
9832,0,1.5,Coolant
9834,0,6.0,Guidance Systems
9836,0,1.5,Consumer Electronics
9838,0,1.5,Superconductors
9840,0,1.5,Transmitter
9842,0,1.5,Miniature Electronics
9844,0,2.0,Small Arms
9848,0,6.0,Robotics
9850,0,0.2,Spirits
9944,9945,5.0,Magnetic Field Stabilizer I
9947,25309,1.0,Standard Crash Booster
9950,25303,1.0,Standard Blue Pill Booster
10039,10040,5.0,Civilian Shield Booster
10151,25310,1.0,Improved Crash Booster
10152,25311,1.0,Strong Crash Booster
10155,25307,1.0,Improved Blue Pill Booster
10156,25308,1.0,Strong Blue Pill Booster
10164,25314,1.0,Standard Sooth Sayer Booster
10165,25507,1.0,Improved Sooth Sayer Booster
10166,25512,1.0,Strong Sooth Sayer Booster
10190,10191,5.0,Magnetic Field Stabilizer II
10246,10247,5.0,Mining Drone I
10250,10251,5.0,Mining Drone II
10629,10630,5.0,Rocket Launcher I
10631,10632,5.0,Rocket Launcher II
10678,10679,5.0,125mm Railgun I
10680,10681,5.0,125mm Railgun II
10836,10837,10.0,Medium Shield Booster I
10838,10839,25.0,Large Shield Booster I
10840,10841,50.0,X-Large Shield Booster I
10842,10843,50.0,X-Large Shield Booster II
10850,10851,10.0,Medium Shield Booster II
10858,10859,25.0,Large Shield Booster II
10998,11613,5.0,Warp Core Stabilizer I
11011,11012,115000.0,Guardian-Vexor
11129,11130,5000.0,Gallente Shuttle
11132,11133,5000.0,Minmatar Shuttle
11134,11135,5000.0,Amarr Shuttle
11172,11173,23000.0,Helios
11174,11175,23000.0,Keres
11176,11177,18000.0,Crow
11178,11179,18000.0,Raptor
11182,11183,17400.0,Cheetah
11184,11185,28100.0,Crusader
11186,11187,28100.0,Malediction
11188,11189,28100.0,Anathema
11190,11191,28100.0,Sentinel
11192,11193,19400.0,Buzzard
11194,11195,19400.0,Kitsune
11196,11197,17400.0,Claw
11198,11199,17400.0,Stiletto
11200,11201,22500.0,Taranis
11202,11203,22500.0,Ares
11215,11216,5.0,'Basic' EM Energized Membrane
11217,11218,5.0,EM Energized Membrane I
11219,11220,5.0,EM Energized Membrane II
11225,11226,5.0,'Basic' Explosive Energized Membrane
11227,11228,5.0,Explosive Energized Membrane I
11229,11230,5.0,Explosive Energized Membrane II
11235,11236,5.0,'Basic' Layered Energized Membrane
11237,11238,5.0,Layered Energized Membrane I
11239,11240,5.0,Layered Energized Membrane II
11245,11246,5.0,'Basic' Kinetic Energized Membrane
11247,11248,5.0,Kinetic Energized Membrane I
11249,11250,5.0,Kinetic Energized Membrane II
11255,11256,5.0,'Basic' Thermal Energized Membrane
11257,11258,5.0,Thermal Energized Membrane I
11259,11260,5.0,Thermal Energized Membrane II
11265,11266,5.0,'Basic' Multispectrum Energized Membrane
