typeID,activityID,skillID,level
33202,3,3403,5
33202,3,11448,1
33202,3,11453,1
33202,1,3380,5
33202,1,11448,1
33202,1,11453,1
33202,5,11448,1
33202,5,11453,1
49625,1,3400,1
49626,1,3400,1
33271,1,3380,1
33271,8,11449,1
33271,8,11452,1
33271,8,21790,1
33273,4,3409,5
33273,4,11449,1
33273,4,11452,1
33273,3,3403,5
33273,3,11449,1
33273,3,11452,1
33273,1,3380,5
33273,1,11449,1
33273,1,11452,1
33273,5,11449,1
33273,5,11452,1
33278,4,3409,4
33278,4,26255,4
33278,3,3403,4
33278,3,26255,4
33278,1,3380,5
33278,1,26255,1
33278,8,11453,1
33278,8,11452,1
33278,8,23121,1
33280,4,3409,5
33280,4,11452,1
33280,4,11453,1
33280,4,26255,4
33280,3,3403,5
33280,3,26255,4
33280,1,3380,5
33280,1,11452,1
33280,1,11453,1
33280,1,26255,4
33280,5,11452,1
33280,5,11453,1
33282,4,3409,4
33282,4,26255,4
33282,3,3403,4
33282,3,26255,4
33282,1,3380,5
33282,1,26255,1
33282,8,11453,1
33282,8,11452,1
33282,8,23121,1
33284,4,3409,5
33284,4,11452,1
33284,4,11453,1
33284,4,26255,4
33284,3,3403,5
33284,3,26255,4
33284,1,3380,5
33284,1,11452,1
33284,1,11453,1
33284,1,26255,4
33284,5,11452,1
33284,5,11453,1
33286,4,3409,4
33286,4,26255,4
33286,3,3403,4
33286,3,26255,4
33286,1,3380,5
33286,1,26255,1
33286,8,11453,1
33286,8,11452,1
33286,8,23121,1
33288,4,3409,5
33288,4,11452,1
33288,4,11453,1
33288,4,26255,4
33288,3,3403,5
33288,3,26255,4
33288,1,3380,5
33288,1,11452,1
33288,1,11453,1
33288,1,26255,4
33288,5,11452,1
33288,5,11453,1
33290,4,3409,4
33290,4,26255,4
33290,3,3403,4
33290,3,26255,4
33290,1,3380,5
33290,1,26255,1
33290,8,11453,1
33290,8,11452,1
33290,8,23121,1
33292,4,3409,5
33292,4,11452,1
33292,4,11453,1
33292,4,26255,4
33292,3,3403,5
33292,3,26255,4
33292,1,3380,5
33292,1,11452,1
33292,1,11453,1
33292,1,26255,4
33292,5,11452,1
33292,5,11453,1
33294,4,3409,4
33294,4,26255,4
33294,3,3403,4
33294,3,26255,4
33294,1,3380,5
33294,1,26255,1
33294,8,11453,1
33294,8,11452,1
33294,8,23121,1
33296,4,3409,5
33296,4,11452,1
33296,4,11453,1
33296,4,26255,4
33296,3,3403,5
33296,3,26255,4
33296,1,3380,5
33296,1,11452,1
33296,1,11453,1
33296,1,26255,4
33296,5,11452,1
33296,5,11453,1
33299,4,3409,4
33299,4,26255,4
33299,3,3403,4
33299,3,26255,4
33299,1,3380,5
33299,1,26255,1
33299,8,11453,1
33299,8,11452,1
33299,8,23121,1
33300,4,3409,5
33300,4,11452,1
33300,4,11453,1
33300,4,26255,4
33300,3,3403,5
33300,3,26255,4
33300,1,3380,5
33300,1,11452,1
33300,1,11453,1
33300,1,26255,4
33300,5,11452,1
33300,5,11453,1
33302,4,3409,5
33302,4,26260,4
33302,3,3403,5
33302,3,26260,4
33302,1,3380,5
33302,1,11449,1
33302,1,11452,1
33302,1,26260,4
33302,5,26260,1
33304,4,3409,4
33304,4,26252,4
33304,3,3403,4
33304,3,26252,4
33304,1,3380,5
33304,1,26252,1
33304,8,11448,1
33304,8,11453,1
33304,8,23087,1
33306,1,3380,5
33306,1,11448,1
33306,1,11453,1
33306,1,26252,4
33308,4,3409,4
33308,4,26255,4
33308,3,3403,4
33308,3,26255,4
33308,1,3380,5
33308,1,26255,1
33308,8,11453,1
33308,8,11452,1
33308,8,23121,1
33310,4,3409,5
33310,4,11452,1
33310,4,11453,1
33310,4,26255,4
33310,3,3403,5
33310,3,26255,4
33310,1,3380,5
33310,1,11452,1
33310,1,11453,1
33310,1,26255,4
33310,5,11452,1
33310,5,11453,1
33312,4,3409,4
33312,4,26255,4
33312,3,3403,4
33312,3,26255,4
33312,1,3380,5
33312,1,26255,1
33312,8,11453,1
33312,8,11452,1
33312,8,23121,1
33314,4,3409,5
33314,4,11452,1
33314,4,11453,1
33314,4,26255,4
33314,3,3403,5
33314,3,26255,4
33314,1,3380,5
33314,1,11452,1
33314,1,11453,1
33314,1,26255,4
33314,5,11452,1
33314,5,11453,1
33327,1,3380,1
49714,1,3380,1
49714,8,11433,1
49714,8,11445,1
49714,8,52308,1
49715,1,3380,1
49716,1,3380,1
49716,8,11444,1
49716,8,11452,1
49716,8,52308,1
49717,4,11442,1
49717,4,3409,5
49717,3,11442,1
49717,3,3403,5
49717,1,3397,1
49717,1,52307,1
49717,1,3380,5
49717,5,11442,1
49721,1,3380,5
49775,1,3380,1
49775,8,11442,1
49775,8,11443,1
49775,8,52308,1
49776,1,3380,1
49777,1,3380,1
49778,4,11442,1
49778,4,11443,1
49778,4,3409,5
49778,3,11442,1
49778,3,11443,1
49778,3,3403,5
49778,1,11442,1
49778,1,11443,1
49778,1,3380,5
49778,5,11442,1
49778,5,11443,1
49779,1,3380,1
33401,1,3380,1
33447,1,3380,1
683,1,3380,1
683,8,11442,1
683,8,11454,1
683,8,21790,1
684,1,3380,1
684,8,11433,1
684,8,11454,1
684,8,21790,1
685,1,3380,1
685,8,11453,1
685,8,11454,1
685,8,21790,1
686,1,3380,1
686,8,11442,1
686,8,11454,1
686,8,21790,1
687,1,3380,1
687,8,11433,1
687,8,11454,1
687,8,21790,1
688,1,3380,1
688,8,11433,1
688,8,11454,1
688,8,21790,1
689,1,3380,1
689,8,11433,1
689,8,11445,1
689,8,21791,1
690,1,3380,1
690,8,11445,1
690,8,11455,1
690,8,21791,1
691,1,3380,1
691,8,11445,1
691,8,11452,1
691,8,21791,1
692,1,3380,1
692,8,11433,1
692,8,11445,1
692,8,21791,1
693,1,3380,1
693,8,11433,1
693,8,11445,1
693,8,21791,1
33469,1,3380,1
33471,1,3380,1
33473,1,3380,1
33514,1,3380,1
33515,4,3365,5
33515,3,3365,5
33515,1,3380,1
33515,1,11446,4
33515,1,11453,4
33515,1,3365,5
33515,5,3365,5
33517,1,3380,1
33518,1,3380,1
33518,1,11446,4
33518,1,11448,4
33519,1,3380,1
33519,1,11433,1
33519,1,11447,1
33521,1,3380,1
33523,1,3380,1
41087,1,3380,1
41087,1,22242,1
33536,1,3380,4
33543,1,3380,4
33545,1,3380,4
33546,1,3380,4
33547,1,3380,4
33548,1,3380,4
784,4,3409,5
784,4,11447,1
784,4,11452,1
784,3,3403,5
784,3,11447,1
784,3,11452,1
784,1,3380,5
784,1,11447,1
784,1,11452,1
784,5,11447,1
784,5,11452,1
785,1,3380,1
785,8,11447,1
785,8,11452,1
785,8,23121,1
786,1,3380,1
786,8,11451,1
786,8,11449,1
786,8,21790,1
788,1,3380,1
788,8,11451,1
788,8,11449,1
788,8,21790,1
790,1,3380,1
790,8,11451,1
790,8,11449,1
790,8,21790,1
33560,1,3380,4
33562,1,3380,4
33564,1,3380,4
33566,1,3380,4
803,1,3380,1
803,8,11453,1
803,8,11449,1
803,8,21790,1
804,1,3380,1
804,8,11453,1
804,8,11449,1
804,8,21790,1
805,1,3380,1
805,8,11453,1
805,8,11449,1
805,8,21790,1
806,1,3380,1
806,8,11453,1
806,8,11449,1
806,8,21790,1
807,1,3380,1
807,8,11453,1
807,8,11449,1
807,8,21790,1
808,1,3380,1
808,8,11453,1
808,8,11449,1
808,8,21790,1
809,1,3380,1
809,8,11453,1
809,8,11449,1
809,8,21790,1
810,1,3380,1
810,8,11453,1
810,8,11449,1
810,8,21790,1
811,1,3380,1
811,8,11453,1
811,8,11449,1
811,8,21790,1
812,1,3380,1
812,8,11453,1
812,8,11449,1
812,8,21790,1
813,1,3380,1
813,8,11453,1
813,8,11449,1
813,8,21790,1
814,1,3380,1
814,8,11453,1
814,8,11449,1
814,8,21790,1
49967,1,3380,1
33584,4,3365,5
33584,3,3365,1
33584,1,3380,1
33584,1,11446,4
33584,1,11453,4
33584,1,3365,5
33584,5,3365,5
49969,1,3380,1
819,1,3380,1
819,8,11451,1
819,8,11452,1
819,8,21791,1
820,1,3380,1
820,8,11451,1
820,8,11452,1
820,8,21791,1
821,1,3380,1
821,8,11451,1
821,8,11452,1
821,8,21791,1
822,1,3380,1
822,8,11451,1
822,8,11452,1
822,8,21791,1
823,1,3380,1
823,8,11451,1
823,8,11452,1
823,8,21791,1
824,1,3380,1
824,8,11451,1
824,8,11452,1
824,8,21791,1
825,1,3380,1
825,8,11451,1
825,8,11452,1
825,8,21791,1
826,1,3380,1
826,8,11451,1
826,8,11452,1
826,8,21791,1
827,1,3380,1
827,8,11451,1
827,8,11452,1
827,8,21791,1
828,1,3380,1
828,8,11451,1
828,8,11452,1
828,8,21791,1
829,1,3380,1
829,8,11451,1
829,8,11452,1
829,8,21791,1
830,1,3380,1
830,8,11451,1
830,8,11452,1
830,8,21791,1
831,1,3380,1
831,8,11451,1
831,8,11452,1
831,8,21791,1
832,1,3380,1
832,8,11451,1
832,8,11452,1
832,8,21791,1
833,1,3380,1
833,8,11451,1
833,8,11452,1
833,8,21791,1
834,1,3380,1
834,8,11433,1
834,8,11447,1
834,8,23087,1
835,1,3380,1
835,8,11433,1
835,8,11447,1
835,8,23087,1
836,1,3380,1
836,8,11433,1
836,8,11447,1
836,8,23087,1
837,1,3380,1
837,8,11433,1
837,8,11447,1
837,8,23087,1
838,1,3380,1
838,8,11433,1
838,8,11447,1
838,8,23087,1
839,1,3380,1
839,8,11433,1
839,8,11447,1
839,8,23087,1
840,1,3380,1
840,8,11433,1
840,8,11447,1
840,8,23087,1
841,1,3380,1
841,8,11433,1
841,8,11447,1
841,8,23087,1
842,1,3380,1
842,8,11433,1
842,8,11447,1
842,8,23087,1
843,1,3380,1
843,8,11433,1
843,8,11447,1
843,8,23087,1
844,1,3380,1
844,8,11433,1
844,8,11447,1
844,8,23087,1
845,1,3380,1
845,8,11433,1
845,8,11447,1
845,8,23087,1
846,1,3380,1
846,8,11433,1
846,8,11447,1
846,8,23087,1
847,1,3380,1
847,8,11433,1
847,8,11447,1
847,8,23087,1
848,1,3380,1
848,8,11433,1
848,8,11447,1
848,8,23087,1
33624,1,3380,1
33626,1,3380,1
50011,1,3380,1
33628,1,3380,1
50013,1,3380,1
33630,1,3380,1
33632,1,3380,1
33634,1,3380,1
33636,1,3380,1
33638,1,3380,1
33640,1,3380,1
33642,1,3380,1
33644,1,3380,1
57490,11,45746,1
33646,1,3380,1
879,1,3380,1
879,8,11452,1
879,8,11451,1
879,8,21791,1
880,1,3380,1
880,8,11452,1
880,8,11451,1
880,8,21791,1
881,1,3380,1
882,1,3380,1
882,8,11452,1
882,8,11451,1
882,8,21791,1
883,1,3380,1
883,8,11452,1
883,8,11451,1
883,8,21791,1
884,1,3380,1
885,1,3380,1
886,1,3380,1
887,1,3380,1
887,8,11452,1
887,8,11451,1
887,8,21791,1
888,1,3380,1
888,8,11452,1
888,8,11451,1
888,8,21791,1
889,1,3380,1
890,1,3380,1
890,8,11452,1
890,8,11451,1
890,8,21791,1
891,1,3380,1
891,8,11452,1
891,8,11451,1
891,8,21791,1
892,1,3380,1
893,1,3380,1
894,1,3380,1
895,1,3380,1
895,8,11452,1
895,8,11451,1
895,8,21791,1
896,1,3380,1
896,8,11452,1
896,8,11451,1
896,8,21791,1
897,1,3380,1
898,1,3380,1
898,8,11452,1
898,8,11451,1
898,8,21791,1
899,1,3380,1
899,8,11452,1
899,8,11451,1
899,8,21791,1
900,1,3380,1
901,1,3380,1
902,1,3380,1
33672,1,3380,1
33672,8,11453,1
33672,8,11446,1
33672,8,23121,1
57495,11,45746,4
33678,1,3380,1
33682,1,11446,1
33682,1,11453,1
33682,1,3380,5
33684,1,3380,1
33686,1,3380,1
57497,11,45746,1
33688,1,3380,1
50073,1,3380,1
33690,1,3380,1
33692,1,3380,1
33694,1,3380,1
33696,1,3380,1
33698,1,3380,5
33698,1,3395,1
33698,1,11441,1
33698,1,11450,1
33698,5,11441,3
33698,5,11450,3
33701,1,3380,1
33701,1,11433,1
33701,1,11447,1
936,1,3380,1
936,8,11433,1
936,8,11444,1
936,8,23087,1
937,1,3380,1
937,8,11442,1
937,8,11444,1
937,8,23087,1
17322,4,3409,5
17322,3,3403,5
17322,1,3380,1
17322,1,11451,3
939,1,3380,1
939,8,11442,1
939,8,11450,1
939,8,23121,1
17324,4,3409,5
17324,3,3403,5
17324,1,3380,1
17324,1,11441,3
17325,4,3409,5
17325,3,3403,5
17325,1,3380,1
17325,1,11453,3
17326,4,3409,5
17326,3,3403,5
17326,1,3380,1
17326,1,11451,3
17327,4,3409,5
17327,3,3403,5
17327,1,3380,1
17327,1,11448,3
17328,4,3409,5
17328,3,3403,5
17328,1,3380,1
17328,1,11529,3
17329,4,3409,5
17329,3,3403,5
17329,1,3380,1
17329,1,11441,3
17330,4,3409,5
17330,3,3403,5
17330,1,3380,1
17330,1,11453,3
17331,4,3409,5
17331,3,3403,5
17331,1,3380,1
17331,1,11433,3
17332,4,3409,5
17332,3,3403,5
17332,1,3380,1
17332,1,11446,3
17333,4,3409,5
17333,3,3403,5
17333,1,3380,1
17333,1,11453,3
950,1,3380,1
950,8,11452,1
950,8,11454,1
950,8,21790,1
17335,4,3409,5
17335,3,3403,5
17335,1,3380,1
17335,1,11443,3
17336,4,3409,5
17336,3,3403,5
17336,1,3380,1
17336,1,11453,3
17338,4,3409,5
17338,3,3403,5
17338,1,3380,1
17338,1,11433,3
17339,4,3409,5
17339,3,3403,5
17339,1,3380,1
17339,1,11441,3
17340,4,3409,5
17340,3,3403,5
17340,1,3380,1
17340,1,11453,3
17341,4,3409,5
17341,3,3403,5
17341,1,3380,1
17341,1,11443,3
17342,4,3409,5
17342,3,3403,5
17342,1,3380,1
17342,1,11451,3
960,1,3380,1
17345,4,3409,5
17345,3,3403,5
17345,1,3380,1
17345,1,11453,3
17346,4,3409,5
17346,3,3403,5
17346,1,3380,1
17346,1,11443,3
963,1,3380,1
964,1,3380,1
965,1,3380,1
966,1,3380,1
967,1,3380,1
968,1,3380,1
968,8,11452,1
968,8,11454,1
968,8,21790,1
969,1,3380,1
969,8,11444,1
969,8,11452,1
969,8,23087,1
970,1,3380,1
970,8,11442,1
970,8,11444,1
970,8,23087,1
971,1,3380,1
971,8,11450,1
971,8,11452,1
971,8,23121,1
972,1,3380,1
972,8,11433,1
972,8,11450,1
972,8,23121,1
57506,11,45746,2
974,1,3380,1
974,8,11445,1
974,8,11452,1
974,8,21791,1
975,1,3380,1
975,8,11445,1
975,8,11453,1
975,8,21791,1
976,1,3380,1
976,8,11442,1
976,8,11445,1
976,8,21791,1
977,1,3380,1
977,8,11453,1
977,8,11454,1
977,8,21790,1
978,1,3380,1
978,8,11450,1
978,8,11453,1
978,8,23121,1
57507,1,3380,3
983,1,3380,1
983,8,11454,1
983,8,11529,1
983,8,21790,1
984,1,3380,1
984,8,11454,1
984,8,11529,1
984,8,21790,1
985,1,3380,1
985,8,11450,1
985,8,11529,1
985,8,23121,1
986,1,3380,1
987,1,3380,1
987,8,11445,1
987,8,11529,1
987,8,21791,1
988,1,3380,1
988,8,11445,1
988,8,11529,1
988,8,21791,1
989,1,3380,1
990,1,3380,1
990,8,11450,1
990,8,11529,1
990,8,23121,1
991,1,3380,1
992,1,3380,1
994,1,3380,1
994,8,11453,1
994,8,11454,1
994,8,21790,1
995,1,3380,1
995,8,11433,1
995,8,11450,1
995,8,23121,1
996,1,3380,1
996,8,11433,1
996,8,11444,1
996,8,23087,1
997,1,3380,1
997,8,11444,1
997,8,11452,1
997,8,23087,1
998,1,3380,1
998,8,11433,1
998,8,11445,1
998,8,21791,1
999,1,3380,1
999,8,11450,1
999,8,11452,1
999,8,23121,1
1002,1,22242,5
1010,1,3380,1
1010,8,11443,1
1010,8,11455,1
1010,8,21790,1
1013,4,11443,1
1013,4,11455,1
1013,3,11443,1
1013,3,11455,1
1013,1,3380,5
1013,1,11443,1
1013,1,11455,1
1013,5,11443,1
1013,5,11455,1
1125,1,3380,1
1125,8,11441,1
1125,8,11455,1
1125,8,23121,1
1026,1,3380,1
1026,8,11443,1
1026,8,11455,1
1026,8,21790,1
1027,4,11443,1
1027,4,11455,1
1027,3,11443,1
1027,3,11455,1
1027,1,3380,5
1027,1,11443,1
1027,1,11455,1
1027,5,11443,1
1027,5,11455,1
1032,1,3380,1
1032,8,11443,1
1032,8,11455,1
1032,8,21790,1
1033,4,11443,1
1033,4,11455,1
1033,3,11443,1
1033,3,11455,1
1033,1,3380,5
1033,1,11443,1
1033,1,11455,1
1033,5,11443,1
1033,5,11455,1
57517,1,3380,5
57517,1,11442,3
57517,1,11529,1
57518,1,3380,5
57518,1,11452,3
57518,1,11529,1
33817,1,3380,1
33819,1,3380,1
33821,1,3380,1
33823,1,3380,1
33823,8,11453,1
33823,8,11446,1
33823,8,23121,1
33825,1,3380,5
33825,1,11446,1
33825,1,11453,1
33825,5,11446,1
33825,5,11453,1
57521,1,3380,5
57521,1,11442,3
57521,1,11529,1
1067,1,3380,1
1067,8,11529,1
1067,8,11449,1
1067,8,21791,1
1071,4,3409,5
1071,4,11449,1
1071,4,11529,1
1071,3,3403,5
1071,3,11449,1
1071,3,11529,1
1071,1,3380,5
1071,1,11449,1
1071,1,11529,1
1071,5,11449,1
1071,5,11529,1
1072,1,3380,1
1072,8,11529,1
1072,8,11449,1
1072,8,21791,1
1073,4,3409,5
1073,4,11449,1
1073,4,11529,1
1073,3,3403,5
1073,3,11449,1
1073,3,11529,1
1073,1,3380,5
1073,1,11449,1
1073,1,11529,1
1073,5,11449,1
1073,5,11529,1
1074,1,3380,1
1074,8,11448,1
1074,8,11453,1
1074,8,21791,1
1075,1,3380,1
1075,8,11448,1
1075,8,11453,1
1075,8,21791,1
1076,1,3380,1
1076,8,11448,1
1076,8,11453,1
1076,8,21791,1
1079,1,3380,1
1079,8,11448,1
1079,8,11446,1
1079,8,21791,1
1080,4,3409,5
1080,4,11446,1
1080,4,11448,1
1080,3,3403,5
1080,3,11446,1
1080,3,11448,1
1080,1,3380,5
1080,1,11446,1
1080,1,11448,1
1080,5,11446,1
1080,5,11448,1
17477,1,3380,1
17477,8,11447,1
17477,8,11450,1
17477,8,23121,1
17479,1,3380,1
17479,8,11447,1
17479,8,11450,1
17479,8,23121,1
1096,1,3380,1
1096,8,11453,1
1096,8,11452,1
1096,8,21791,1
17481,1,3380,1
17481,8,11447,1
17481,8,11450,1
17481,8,23121,1
1099,1,3380,1
1099,8,11442,1
1099,8,11443,1
1099,8,23087,1
1100,1,3380,1
1100,8,11529,1
1100,8,11442,1
1100,8,23121,1
17486,1,3380,1
1103,4,3409,5
1103,4,11446,1
1103,4,11448,1
1103,3,3403,5
1103,3,11446,1
1103,3,11448,1
1103,1,3380,5
1103,1,11446,1
1103,1,11448,1
1103,5,11446,1
1103,5,11448,1
33872,1,3380,1
17489,1,3380,1
1106,1,3380,1
1106,8,11433,1
1106,8,11455,1
1106,8,23087,1
33876,1,3380,1
1109,1,3380,1
1109,8,11433,1
1109,8,11455,1
1109,8,23087,1
33878,1,3380,1
1112,1,3380,1
1112,8,11441,1
1112,8,11455,1
1112,8,23121,1
1113,1,3380,1
1113,8,11441,1
1113,8,11455,1
1113,8,23121,1
1114,1,3380,1
1114,8,11441,1
1114,8,11455,1
1114,8,23121,1
1115,1,3380,1
1115,8,11441,1
1115,8,11455,1
1115,8,23121,1
1116,1,3380,1
1116,8,11441,1
1116,8,11455,1
1116,8,23121,1
17501,1,3380,1
1118,1,3380,1
1118,8,11441,1
1118,8,11455,1
1118,8,23121,1
17503,1,3380,1
1120,1,3380,1
1120,8,11441,1
1120,8,11455,1
1120,8,23121,1
17505,1,3380,1
1122,1,3380,1
1122,8,11441,1
1122,8,11455,1
1122,8,23121,1
17507,1,3380,1
1124,1,3380,1
1124,8,11441,1
1124,8,11455,1
1124,8,23121,1
17509,1,3380,1
1126,1,3380,1
1126,8,11441,1
1126,8,11455,1
1126,8,23121,1
17511,1,3380,1
1128,1,3380,1
1128,8,11433,1
1128,8,11455,1
1128,8,23087,1
17513,1,3380,1
1130,1,3380,1
1131,1,3380,1
1132,1,3380,1
1132,8,11441,1
1132,8,11455,1
1132,8,23121,1
17517,1,3380,1
1134,1,3380,1
1134,8,11441,1
1134,8,11455,1
1134,8,23121,1
17519,1,3380,1
1136,1,3380,1
1136,8,11441,1
1136,8,11455,1
1136,8,23121,1
17521,1,3380,1
1138,1,3380,1
1139,1,3380,1
1140,1,3380,1
1140,8,11441,1
1140,8,11455,1
1140,8,23121,1
1141,1,3380,1
1142,1,3380,1
1142,8,11441,1
1142,8,11455,1
1142,8,23121,1
1143,1,3380,1
1144,1,3380,1
1144,8,11441,1
1144,8,11455,1
1144,8,23121,1
17529,1,3380,1
1146,1,3380,1
1147,1,3380,1
1148,1,3380,1
1148,8,11441,1
1148,8,11455,1
1148,8,23121,1
1149,1,3380,1
1150,1,3380,1
1150,8,11441,1
1150,8,11455,1
1150,8,23121,1
1151,1,3380,1
1152,1,3380,1
1152,8,11441,1
1152,8,11455,1
1152,8,23121,1
17537,1,3380,1
1154,1,3380,1
1154,8,11433,1
1154,8,11447,1
1154,8,23087,1
17539,1,3380,1
1156,1,3380,1
17541,1,3380,1
1158,1,3380,1
1158,8,11447,1
1158,8,11433,1
1158,8,23087,1
17543,1,3380,1
1160,1,3380,1
17545,1,3380,1
1162,1,3380,1
1162,8,11433,1
1162,8,11447,1
1162,8,23087,1
1163,1,3380,1
1164,1,3380,1
1165,1,3380,1
17550,1,3380,1
1167,1,3380,1
1167,8,11433,1
1167,8,11447,1
1167,8,23087,1
1168,1,3380,1
1169,1,3380,1
1169,8,11433,1
1169,8,11447,1
1169,8,23087,1
17554,1,3380,1
1171,1,3380,1
17556,1,3380,1
1173,1,3380,1
1174,1,3380,1
1174,8,11447,1
1174,8,11433,1
1174,8,23087,1
1175,1,3380,1
1175,8,11433,1
1175,8,11447,1
1175,8,23087,1
1176,1,3380,1
17561,1,3380,1
1178,1,3380,1
1179,1,3380,1
1184,4,3409,5
1184,4,11442,1
1184,4,11443,1
1184,3,3403,5
1184,3,11442,1
1184,3,11443,1
1184,1,3380,5
1184,1,11442,1
1184,1,11443,1
1184,5,11442,1
1184,5,11443,1
1186,1,3380,1
1186,8,11433,1
1186,8,11455,1
1186,8,23087,1
1191,4,3409,5
1191,4,11433,1
1191,4,11455,1
1191,3,3403,5
1191,3,11433,1
1191,3,11455,1
1191,1,3380,5
1191,1,11433,1
1191,1,11455,1
1191,5,11433,1
1191,5,11455,1
1196,1,3380,1
1196,8,11433,1
1196,8,11455,1
1196,8,23087,1
1204,1,3380,1
1204,8,11443,1
1204,8,11442,1
1204,8,23087,1
1205,4,3409,5
1205,4,11442,1
1205,4,11443,1
1205,3,3403,5
1205,3,11442,1
1205,3,11443,1
1205,1,3380,5
1205,1,11442,1
1205,1,11443,1
1205,5,11442,1
1205,5,11443,1
1208,1,3380,1
1208,8,11453,1
1208,8,11448,1
1208,8,21790,1
1210,1,3380,1
1210,8,11448,1
1210,8,11453,1
1210,8,21790,1
1212,1,3380,1
1212,8,11448,1
1212,8,11453,1
1212,8,21790,1
1214,1,3380,1
1214,8,11453,1
1214,8,11446,1
1214,8,21790,1
1216,1,3380,1
1218,1,3380,1
1220,1,3380,1
1220,8,11453,1
1220,8,11449,1
1220,8,21790,1
1221,1,3380,1
1221,8,11453,1
1221,8,11449,1
1221,8,21790,1
17620,1,3380,1
1237,4,3409,5
1237,4,11442,1
1237,4,11529,1
1237,3,3403,5
1237,3,11442,1
1237,3,11529,1
1237,1,3380,5
1237,1,11442,1
1237,1,11529,1
1237,5,11442,1
1237,5,11529,1
1245,1,3380,1
1245,8,11529,1
1245,8,11442,1
1245,8,21791,1
1247,1,3380,1
1247,8,11433,1
1247,8,11455,1
1247,8,23087,1
1249,4,3409,5
1249,4,11433,1
1249,4,11455,1
1249,3,3403,5
1249,3,11433,1
1249,3,11455,1
1249,1,3380,5
1249,1,11433,1
1249,1,11455,1
1249,5,11433,1
1249,5,11455,1
17635,1,3380,1
17637,1,3380,1
1255,1,3380,1
1255,8,11443,1
1255,8,11455,1
1255,8,21790,1
1257,4,3409,5
1257,4,11443,1
1257,4,11455,1
1257,3,3403,5
1257,3,11443,1
1257,3,11455,1
1257,1,3380,5
1257,1,11443,1
1257,1,11455,1
1257,5,11443,1
1257,5,11455,1
1133,1,3380,1
17649,1,3380,1
17649,8,11441,1
17649,8,11455,1
17649,8,23121,1
17651,1,3380,1
17651,8,23121,0
17651,8,11441,1
17651,8,11455,1
17653,1,3380,1
17655,1,3380,1
17657,1,3380,1
17657,8,11441,1
17657,8,11455,1
17657,8,23121,1
1275,1,3380,1
1275,8,11443,1
1275,8,11442,1
1275,8,23087,1
1277,4,3409,5
1277,4,11442,1
1277,4,11443,1
1277,3,3403,5
1277,3,11442,1
1277,3,11443,1
1277,1,3380,5
1277,1,11442,1
1277,1,11443,1
1277,5,11442,1
1277,5,11443,1
17663,1,3380,1
17665,1,3380,1
17665,8,11451,1
17665,8,11452,1
17665,8,21791,1
17667,1,3380,1
17667,8,11451,1
17667,8,11452,1
17667,8,21791,1
1285,1,3380,1
1285,8,11443,1
1285,8,11442,1
1285,8,23087,1
1287,4,3409,5
1287,4,11442,1
1287,4,11443,1
1287,3,3403,5
1287,3,11442,1
